Category,Bahasa,Cleaned_Bahasa,Length,Count
ham,"Mungkin akan mampir sebentar lagi
",mampir sebentar,15,2
ham,"Ya, sangat bagus. . .bersiap pada hari Kamis
",ya bagus kamis,14,3
ham,"Halo! Kami telah menerjang bus dan naik kereta api dan meraih kemenangan. Maksudku, kita berada di b'ham. Selamat menikmati sisa minggu ini
",halo terjang bus kereta api raih menang maksud b ham selamat nikmat sisa minggu,79,14
ham,"Menonton kartun, mendengarkan musik &amp; pada malam hari harus pergi ke kuil &amp; gereja.. Bagaimana denganmu?
",tonton kartun dengar musik amp malam pergi kuil amp gereja dengan,65,11
ham,"Apakah Anda keberatan jika saya bertanya apa yang terjadi? Anda tidak perlu mengatakan jika itu tidak nyaman.
",berat nyaman,12,2
spam,"PRIBADI! Laporan Rekening Anda tahun 2003 menunjukkan 800 poin S.I.M. yang belum ditukarkan. Hubungi 08715203694 Kode Pengenal: 40533 Kedaluwarsa 31/10/04
",pribadi lapor rekening 2003 800 poin s i m tukar hubung 08715203694 kode kenal 40533 kedaluwarsa 31 10 04,105,19
ham,"Tidak masalah. Saya akan mengirimkan ke email Anda.
",kirim email,11,2
spam,"Anda telah memenangkan uang tunai ?1.000 atau hadiah ?2.000! Untuk klaim, hubungi09050000327. S&K: RSTM, SW7 3SS. 150ppm
",menang uang tunai 1 000 hadiah 2 000 klaim hubungi09050000327 s k rstm sw7 3ss 150ppm,85,16
ham,"Itu keren! Terkadang lambat dan lembut. Terkadang kasar dan keras :)
",keren terkadang lambat lembut terkadang kasar keras,51,7
ham,"Saya akan mengatakan tidak. Maaf. Saya akan melakukannya tetapi seperti biasa saya mulai panik tentang waktu. Maaf lagi! Apakah kamu bertemu pada hari Selasa?
",maaf laku panik maaf temu selasa,32,6
ham,"Tunggu, tahukah kamu kalau wesley ada di kota? Aku yakin dia menggunakan narkoba!
",tunggu tahu wesley kota narkoba,31,5
ham,"Baik aku sangat merindukanmu.
",rindu,5,1
ham,"Beritahu mereka bahwa pengedar narkoba itu mulai tidak sabar
",beritahu edar narkoba sabar,27,4
ham,"Matahari tidak bisa datang ke bumi tetapi mengirimkan cinta sebagai sinarnya. awan tidak bisa datang ke sungai tetapi mengirimkan cinta sebagai hujan. Aku tidak bisa datang menemuimu, tapi aku bisa mengirimkan pesanku ke U. Gud evng
",matahari bumi kirim cinta sinar awan sungai kirim cinta hujan temu kirim pesan u gud evng,89,16
ham,"Tidak masuk akal untuk membawanya ke sana kecuali gratis. Jika Anda ingin tahu lebih banyak, wikipedia.com
",masuk akal bawa kecuali gratis wikipedia com,44,7
spam,"88800 dan 89034 merupakan layanan telepon premium hubungi 08718711108
",88800 89034 layan telepon premium hubung 08718711108,52,7
ham,"Di bawah laut, terdapat sebuah batu. Di dalam batu itu ada sebuah amplop. Di dalam amplop itu terdapat sebuah kertas. Di kertas itu ada 3 kata...'
",laut batu batu amplop amplop kertas kertas 3,44,8
ham,"Lalu ibu bertaubat bagaimana?
",taubat,6,1
ham,"Maaf aku pulang dulu... Ayah jemput nanti...
",maaf pulang ayah jemput,23,4
ham,"Biarkan saja de :-). Mulai Mempersiapkan untuk selanjutnya:-)..
",biar de - -,11,4
ham,"Ya, sayang! Kita bisa mempelajari semua posisi kama sutra ;)
",ya sayang ajar posisi kama sutra,32,6
ham,"En chikku nange bakra msg kalstiya..lalu minum teh/kopi?
",en chikku nange bakra msg kalstiya minum teh kopi,49,9
ham,"Carlos akan tiba di sini sebentar lagi jika Anda masih perlu membeli
",carlos sebentar beli,20,3
ham,"Pembayaran ini &lt;DECIMAL&gt;  lakh :)
",bayar lt decimal gt lakh,24,5
ham,"Selamat malam! Ttil
",selamat malam ttil,18,3
ham,"Apakah kamu menerima pesanku?
",terima pesan,12,2
ham,"Ho ho - tertawa perut buncit! Sampai jumpa, Tomo
",ho ho - tertawa perut buncit jumpa tomo,39,8
spam,"SMS. ac sun0819 posting HELLO:""Kamu tampak keren, ingin menyapa. HI!!!"" Berhenti? Kirim STOP ke 62468
",sms ac sun0819 posting hello keren sapa hi henti kirim stop 62468,65,12
spam,"Dapatkan RINGTONE pertama Anda GRATIS SEKARANG! Balas pesan ini dengan TONE. Gr8 TOP 20 nada ke ponsel Anda setiap minggu hanya £1,50 per minggu 2 pilih tidak ikut kirim STOP 08452810071 16
",dapat ringtone gratis balas pesan tone gr8 top 20 nada ponsel minggu 1 50 minggu 2 pilih kirim stop 08452810071 16,114,21
ham,"Dito. Dan kamu tidak perlu khawatir lagi kalau aku mengatakan APA PUN kepadamu. Seperti yang aku katakan tadi malam, lakukan apa pun yang kamu mau dan aku akan melakukan hal yang sama. Perdamaian.
",dito khawatir kepada malam laku damai,37,6
ham,"Saya punya &lt;#&gt; , adakah yang bisa saya ambil?
",lt gt ada ambil,15,4
ham,"Entahlah pa, aku hanya minum susu..
",pa minum susu,13,3
ham,"Mungkin?! Sapalah dan cari tahu apakah Anda mendapatkan kartunya. Pelarian yang hebat atau cuaca buruk? 
",sapa cari kartu lari hebat cuaca buruk,38,7
ham,"Piggy, kamu sudah bangun? Aku yakin kamu masih tidur. Aku akan makan siang jam 4 sekarang...
",piggy bangun tidur makan siang jam 4,36,7
ham,"Karena aku tidak aneh haha
",aneh haha,9,2
ham,"Tak terjawab panggilanmu karena aku berteriak-teriak. Merindukanmu. Tidak sabar menunggumu pulang. Aku sangat kesepian hari ini.
",jawab panggil teriak rindu sabar tunggu pulang sepi,51,8
ham,"Tempat 'hex' apa yang kamu bicarakan? Menjelaskan!
",hex bicara,10,2
ham,"Ü keluarkan 4 watt. Ini sdryb8i
",keluar 4 watt sdryb8i,21,4
ham,"Apakah xy akan pergi makan siang jam 4 sore?
",xy pergi makan siang jam 4 sore,31,7
spam,"Hai, aku menuntut. Saya berumur 20 tahun dan bekerja sebagai lapdancer. Saya suka seks. Kirimi saya pesan langsung - Saya di kamar saya sekarang. teks SUE ke 89555. Oleh TextOperator G2 1DA 150ppmsg 18+
",hai tuntut umur 20 lapdancer suka seks kirim pesan langsung - kamar teks sue 89555 textoperator g2 1da 150ppmsg 18,114,20
ham,"Saya ingin meminta ü menunggu saya selesai kuliah. Karena kuliahku selesai satu jam lagi.
",tunggu selesai kuliah kuliah selesai jam,40,6
ham,"Apakah kamu sudah selesai bekerja? :)
",selesai,7,1
ham,"Setiap Raja dulunya adalah seorang bayi yang menangis dan setiap bangunan besar dulunya adalah sebuah peta.. Bukanlah penting kemana kamu hari ini, tapi kemana kamu akan mencapai esok. Ya ampun8
",raja dulunya bayi menang bangun dulunya peta mana mana capai esok ya ampun8,75,13
ham,"Yang terhormat, Saya di cherthala. Jika Anda akan datang ke Cochin, silakan hubungi sebelum Anda mulai. Saya juga akan menghubungi Anda. Atau beri tahu saya hari apa Anda akan datang. Besok saya bertunangan dan hari liburnya.
",hormat cherthala cochin sila hubung hubung besok tunang libur,61,9
ham,"Terima kasih sayang. Tapi apakah saya melakukan obor atau berani.
",terima kasih sayang obor berani,31,5
spam,"<Diteruskan dari 448712404000>Harap segera HUBUNGI 08712404000 karena ada pesan penting menunggu Anda.
",terus 448712404000 harap hubung 08712404000 pesan tunggu,56,7
ham,"Apakah peternakannya terbuka?
",terna buka,10,2
ham,"Maaf merepotkanmu lagi. Bisakah membeli 4d untuk ayah saya lagi? 1405, 1680, 1843. Semua 2 besar 1 kecil, Sabtu dan matahari. Terima kasih.
",maaf repot beli 4d ayah 1405 1680 1843 2 1 sabtu matahari terima kasih,70,14
ham,"Adik iparku, semoga bulanmu menyenangkan. Hanya mengatakan hei. Abiola
",adik ipar moga bulan senang hei abiola,38,7
ham,"Akan membeli barang hari ini dan mengirimkannya kepada Anda. Apakah Anda memiliki nomor kotak po?
",beli barang kirim milik nomor kotak po,38,7
ham,"Ah kotoran. Sepertinya saya mungkin harus mengirimkan laptop saya untuk diperbaiki karena ada masalah GPU
",ah kotor kirim laptop baik gpu,30,6
ham,"Bagus. Kerja bagus. Saya suka wirausaha
",bagus kerja bagus suka wirausaha,32,5
ham,"Baiklah, kamu dekat atau masih di sekitar tempat alex?
",baik alex,9,2
ham,"bertemu denganmu di celah luar perusahaan… kamu dapat melihat bagaimana pikiranku bekerja!
",temu dengan celah usaha pikir,29,5
ham,"Ibu meminta ü untuk membeli makanan di rumah...
",beli makan rumah,16,3
ham,"K..u juga tidak mengirim pesan atau membalas pesannya..
",k u kirim pesan balas pesan,27,6
ham,"Berapa banyak yang bersedia Anda bayarkan?
",sedia bayar,11,2
ham,"Yang penting Anda mencegah dehidrasi dengan memberinya cairan yang cukup
",cegah dehidrasi beri cair,25,4
ham,"Itu agak aneh, bahkan?- di mana tindakan itu seharusnya terjadi? Tapi ide bagus, mereka pasti ada di pub!
",aneh - tindak ide bagus pub,27,6
ham,"Benar sayang..aku duduk untuk sholat magrib dan merasa begitu. jadi aku mengirimimu pesan sebentar lagi...
",sayang duduk sholat magrib kirim pesan sebentar,47,7
ham,"Saya rasa saya tidak bisa melakukan perjalanan sejauh itu bersama keluarga di kota, maaf
",jalan keluarga kota maaf,24,4
ham,"Jadi kapan kamu mau gym harri
",gym harri,9,2
ham,"Sudah terlambat lar... Lagi pula jam 12 aku tidak akan mengemudi...
",lambat lar jam 12 kemudi,24,5
spam,"Untuk meninjau dan MENJAGA dek permainan Nokia N-Gage yang fantastis dengan Club Nokia, kunjungi www.cnupdates.com/newsletter. berhenti berlangganan peringatan, balas dengan kata KELUAR
",tinjau jaga dek main nokia n-gage fantastis club nokia kunjung www cnupdates com newsletter henti langgan ingat balas,117,18
spam,"Separuh harga 4 bln Sewa jalur oranye & ponsel kamera terbaru 4 GRATIS. Apakah ponsel Anda berumur 11 bulan+? Hubungi MobilesDirect gratis di 08000938767 untuk memperbarui sekarang! S&K or2stoptxt
",paruh harga 4 bln sewa jalur oranye ponsel kamera baru 4 gratis ponsel umur 11 hubung mobilesdirect gratis 08000938767 baru s k or2stoptxt,138,23
ham,"Sepertinya waktu yang aneh bahwa malam yang kamu dan aku inginkan adalah aku datang merokok adalah hari yang sama dengan ketika badai besar dikaitkan denganku yang selalu datang dan membuat semua orang merokok.
",aneh malam rokok badai kait dengan orang rokok,46,8
spam,"08714712388 antara jam 10 pagi - 7 malam Biaya 10p
",08714712388 jam 10 pagi - 7 malam biaya 10p,43,9
ham,"Selamatkan diri Anda dari stres. Jika orang tersebut memiliki rekening asrama, kirimkan saja detail rekening Anda dan uang akan dikirimkan kepada Anda.
",selamat stres orang milik rekening asrama kirim detail rekening uang kirim,74,11
ham,"Dia juga hanya tahu tentang menu makan siang da. . Aku tahu
",menu makan siang da,19,4
ham,"Kalau aku punya barang untuk dijual, aku akan memberitahumu
",barang jual memberitahumu,25,3
spam,"+449071512431 PENTING! Ini adalah upaya kedua untuk menghubungi U!U telah MENANG £1250 HUBUNGI 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm ponsel bervariasi. maks £7. 50
",449071512431 upaya hubung u u menang 1250 hubung 09071512433 b4 050703 t csbcm4235wc1n3xx callcost 150ppm ponsel variasi maks 7 50,130,20
ham,"Pesan pelajaran yang mana? lalu Anda mengirimi saya pesan... Saya akan menelepon setelah bekerja atau sth... Saya akan mendapatkan spesifikasinya. Keanggotaan saya adalah PX3748
",pesan ajar kirim pesan telepon sth spesifikasi anggota px3748,61,9
spam,"Anda telah MENANGKAN jaminan uang tunai £1000 atau hadiah £2000. Untuk mengklaim hadiah tahun ini, hubungi perwakilan layanan pelanggan kami di 08714712394 antara pukul 10.00-19.00
",menang jamin uang tunai 1000 hadiah 2000 klaim hadiah hubung wakil layan langgan 08714712394 10 00-19 00,104,17
ham,"Macha jangan merasa kesal. Aku bisa berasumsi pola pikirmu. Percayalah suatu malam bersamaku dan aku punya rencana indah untuk kita berdua. BIARKAN HIDUP DIMULAI LAGI. Hubungi aku kapan saja
",macha kesal asumsi pola pikir percaya malam sama rencana indah dua biar hidup hubung,84,14
ham,"Oh benarkah? Kirimi saya alamatnya
",oh kirim alamat,15,3
ham,"Tidak apa-apa. Kapan pun. Semua yang terbaik dengan itu.
",apa baik,8,2
ham,"Itu adalah film penuh yang luar biasa.
",film penuh,10,2
ham,"Ya, bahkan kue itu ada jelinya
",ya kue jeli,11,3
ham,"Dunia berjalan dan aku masih. mungkin semua merasakan hal yang sama, biarkan saja. atau harus aku akui, aku gila. lalu di mana koreksinya? atau biar kusebut ini kehidupan. dan teruslah berlari bersama dunia , mungkin kamu juga sedang berlari. Ayo lari.
",dunia jalan rasa biar aku gila koreksi biar sebut hidup terus lari dunia lari ayo lari,86,16
ham,"Mengerti! Kelihatannya nikmat... ayah ingin memakanmu sepanjang malam!
",erti nikmat ayah makan malam,28,5
ham,"Tentu saja aku tidak begitu ba dao ok... 1 siang lor... Kamu tidak pernah bertanya kemana kita pergi ah... Aku bilang kamu akan bertanya pada hari Jumat tapi dia bilang kamu akan bertanya hari ini...
",ba dao ok 1 siang lor mana pergi ah bilang jumat bilang,55,12
ham,"Baiklah omw, pesanan saya harus diubah menjadi setengah8
",baik omw pesan ubah setengah8,29,5
ham,"Tepat. Bagaimanapun seberapa jauh. Apakah jide dia untuk belajar atau sekedar berkunjung
",jide ajar dar kunjung,21,4
ham,"Entahlah kamu bertanya padaku.
",pada,4,1
spam,"Peringatan EmailDari: Jeri StewartUkuran: 2KBSubyek: Drvgs resep berbiaya rendahUntuk mendengarkan panggilan email 123
",ingat emaildari jeri stewartukuran 2kbsubyek drvgs resep biaya rendahuntuk dengar panggil email 123,99,13
ham,"Tidak, dia tidak melakukannya. Musim semi akan datang lebih awal yay!
",laku musim semi yay,19,4
ham,"Loh kamu tidak akan merasa sedih saat aku menggunakan uangnya untuk mengajakmu makan malam steak =D
",loh sedih uang ajak makan malam steak d,39,8
ham,"Bahkan kamu tidak mendapat masalah saat meyakinkan..telepon saja dia sekali atau dua kali dan telp saja abaikan pesannya jangan c dan bacalah..jangan balas
",telepon kali telp abai pesan c baca balas,41,8
ham,"Berangkat ke qatar tonite untuk mencari peluang. semuanya berjalan cepat. tolong tambahkan aku dalam doamu sayang. Rakhesh
",berangkat qatar tonite cari peluang jalan cepat tolong tambah doa sayang rakhesh,80,12
ham,"Lalu mengapa tidak ada yang berbicara denganku
",bicara dengan,13,2
ham,"Terima kasih telah memperhatikanku. Saya sangat menghargai.
",terima kasih perhati harga,26,4
spam,"Hai. Penawaran Loyalitas Pelanggan: Ponsel Nokia6650 BARU mulai dari HANYA £10 di TXTAUCTION! Kata Txt: MULAI ke No: 81151 & dapatkan milik Anda Sekarang! 4T&Ctxt TC 150p/MTmsg
",hai tawar loyalitas langgan ponsel nokia6650 10 txtauction txt no 81151 dapat milik 4t ctxt tc 150p mtmsg,105,18
ham,"Seandainya aku bersamamu sekarang!
",anda sama,9,2
ham,"Haha mungkin kamu sudah siap... Kamu kenal aku dengan baik. Perasaan disukai oleh seseorang itu bagus. Kamu lebih cepat mencari satu, lalu semua cewek di grup kita terlampir liao.
",haha kenal asa suka bagus cepat cari cewek grup lampir liao,59,11
ham,"Ya, aku akan berada di sana. Senang Anda berhasil.
",ya senang hasil,15,3
ham,"Lakukan dengan baik :) semua akan terjadi dalam waktu singkat. Hal-hal baik di masa depan:
",laku singkat hal,16,3
ham,"Baru saja bangun. harus segera keluar dari ruangan. …. aku belum mengembalikan jam sampai jam 8 aku berteriak pada semua orang untuk bangun dan kemudian menyadari bahwa itu jam 7. wahai. satu jam lagi di tempat tidur.
",bangun ruang kembali jam jam 8 teriak orang bangun sadar jam 7 jam tidur,72,14
ham,"Oke. Mungkin ada gym gratis.
",oke gym gratis,14,3
ham,"Pria menyukai wanita yang lebih pendek. Tatap matanya.
",pria suka wanita pendek tatap mata,34,6
ham,"Entahlah dia hanya bilang pergi lido. Waktu yang sama 930.
",bilang pergi lido 930,21,4
ham,"Aku berjanji akan menjagamu dengan baik, tuan putri. Saya harus lari sekarang. Silakan kirim foto ketika Anda mendapat kesempatan. Benar!
",janji jaga tuan putri lari sila kirim foto sempat,49,9
spam,"Anda berlangganan Layanan Konten Seluler terbaik di Inggris seharga £3 per 10 hari hingga Anda mengirim STOP ke 82324. Saluran Bantuan 08706091795
",langgan layan konten seluler baik inggris harga 3 10 kirim stop 82324 salur bantu 08706091795,93,15
ham,"Apakah ada alasan kita tidak berbicara tahun ini? Bagaimanapun, semoga minggu ini menyenangkan dan semoga sukses dalam ujian Anda
",alas bicara moga minggu senang moga sukses uji,46,8
ham,"Senin minggu depan. Beri saya inti lengkapnya
",senin minggu inti lengkap,25,4
spam,"Sadarkah Anda bahwa dalam waktu sekitar 40 tahun, kita akan memiliki ribuan wanita tua yang bertato?
",sadar 40 milik ribu wanita tua tato,35,7
spam,"Anda mendapat pengumuman layanan pelanggan penting dari PREMIER.
",umum layan langgan premier,26,4
ham,"Jangan beri aku bibir itu
",bibir,5,1
ham,"Kapan kamu sampai ke perpustakaan
",pustaka,7,1
ham,"Benar-benar maaf-saya tidak mengenali nomor ini dan sekarang saya bingung :) siapa yang kamu tolong?! 
",benar maaf-saya nali nomor bingung tolong,41,6
ham,"Jadi kenapa kamu tidak holla?
",holla,5,1
ham,"Tidak dapat memikirkan siapa pun yang * punya ruang kosong * di atas kepalaku
",pikir ruang kosong kepala,25,4
ham,"Iman membuat segalanya mungkin, Harapan membuat segalanya berhasil, Cinta membuat segalanya indah, Semoga Anda memiliki ketiganya di Natal ini! Selamat Natal!
",iman harap hasil cinta indah moga milik tiga natal selamat natal,64,11
ham,"Kamu seharusnya membuat janji
",janji,5,1
ham,"Hubungi saya ketika Anda/carlos ada/berada di sini, getaran ponsel saya bergetar dan saya mungkin tidak mendengar SMS
",hubung carlos getar ponsel getar dengar sms,43,7
spam,"Paris yang romantis. 2 malam, 2 penerbangan mulai £79 Pesan sekarang 4 tahun depan. Hubungi 08704439680S&K berlaku.
",paris romantis 2 malam 2 terbang 79 pesan 4 hubung 08704439680s k laku,70,13
ham,"Kami berada di rumah nenek. Ya ampun, kamu masih sakit? Aku merasa sial pagi ini, tapi sepertinya aku hanya mabuk! Kalau begitu, satu malam lagi. Kami berangkat pada hari Sabtu.
",rumah nenek ya ampun sakit sial pagi mabuk malam berangkat sabtu,64,11
spam,"Hadiah jaminan Urgent Ur £500 masih belum diklaim! Hubungi 09066368327 SEKARANG tanggal penutupan04/09/02 kode klaim M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF
",hadiah jamin urgent ur 500 klaim hubung 09066368327 tanggal penutupan04 09 02 kode klaim m39m51 1 50pmmorefrommobile2bremoved-mobypobox734ls27yf,144,17
ham,"Tidak ada apa-apa selain kami hanya tot kamu akan bertanya karena kamu ba gua... Tapi kami pergi ke mt faber ya... Ya baru saja keluar mah jadi hari ini tidak keluar... Telepon saja lor...
",apa tot ba gua pergi mt faber ya ya mah telepon lor,51,12
ham,"Sebelumnya saya ucapkan Selamat ""X"" mas dan SELAMAT TAHUN BARU..
",ucap selamat x mas selamat,26,5
spam,"UR mendapatkan City Break dan MENANGKAN Belanja Musim Panas senilai £200 setiap WK. Txt TOKO ke 88039 . Keterampilan. TsCs087147403231Winawk!Usia16 £1,50perWKsub
",ur city break menang belanja musim panas nila 200 wk txt toko 88039 terampil tscs087147403231winawk usia16 1 50perwksub,119,18
ham,"Aku tidak akan pergi, ada sesuatu yang harus dilakukan, kecuali mereka bertemu pada jam 4 makan malam untuk... Haha, entahlah siapa yang akan pergi kali ini...
",pergi kecuali temu jam 4 makan malam haha pergi kali,52,10
ham,"haha aku tahu! Itu sangat dramatis. Sekolah sudah tutup untuk besok. Rupanya kami tidak bisa berkendara di tengah salju yang seharusnya didapat.
",haha dramatis sekolah tutup besok kendara salju,47,7
ham,"Tidak akan berhasil dengan perburuan pekerjaan sialan ini di sini!
",hasil buru kerja sial,21,4
ham,"Tertawa terbahak-bahak! Kamu pemabuk! Hanya menata rambutku pada saat d. Ya masih bangun jam 4 malam ini. Apa rencananya? 
",tertawa bahak mabuk tata rambut d ya bangun jam 4 malam rencana,63,12
ham,"Aku harus ke sini, kamu tidak akan berusaha keluar dari masalah ini dua kali berturut-turut
",usaha kali,10,2
ham,"Saya akan berada di sana bersama &lt;#&gt;  menit. Punya ruang apa pun
",lt gt menit ruang,17,4
ham,"Terima kasih telah memungut sampah.
",terima kasih mungut sampah,26,4
ham,"Mengapa kamu tidak pergi dan memberi tahu temanmu bahwa kamu tidak yakin ingin tinggal bersamanya karena dia terlalu banyak merokok, lalu menghabiskan waktu berjam-jam untuk memintanya ikut merokok?
",pergi teman tinggal sama rokok habis jam minta rokok,52,9
ham,"""Hai, ini Kate, senang bertemu denganmu malam ini dan aku akan meneleponmu besok. Aku harus bernyanyi dan seorang pria memberiku kartu namanya! xxx""
",hai kate senang temu dengan malam telepon besok nyanyi pria beri kartu nama xxx,79,14
ham,"Selamat tahun baru saudaraku sayang. Aku sungguh merindukanmu. Baru saja mendapatkan nomor Anda dan memutuskan untuk mengirimi Anda teks ini dengan harapan Anda hanya bahagia. Abiola
",selamat saudara sayang sungguh rindu nomor putus kirim teks harap bahagia abiola,80,12
ham,"Itu berarti buka pintunya
",buka pintu,10,2
ham,"Hmmm... Kupikir kita bilang 2 jam budak, bukan 3... Kamu terlambat... Bagaimana aku harus menghukummu?
",hmmm pikir bilang 2 jam budak 3 lambat hukum,44,9
ham,"Bir?
",bir,3,1
spam,"Anda mendapat pengumuman layanan pelanggan penting dari PREMIER. Hubungi GRATIS TELEPON 0800 542 0578 sekarang!
",umum layan langgan premier hubung gratis telepon 0800 542 0578,62,10
ham,"Jangan berpikir begitu. Ini mati secara acak dalam waktu 5 menit setelah pembukaan
",pikir mati acak 5 menit buka,28,6
ham,"Dia seharusnya datang tetapi tidak bisa datang, dia masih di kota
",kota,4,1
ham,"Ia melakukannya sendiri. Seringkali ini memperbaiki ejaan saya. Namun terkadang ada kata yang sangat berbeda. Pergilah
",laku seringkali baik eja terkadang beda pergi,45,7
spam,"Pernah terpikir untuk menjalani kehidupan yang baik dengan pasangan yang sempurna? Cukup SMS kembali NAMA dan USIA untuk bergabung dengan komunitas seluler. (100p/SMS)
",pikir jalan hidup pasang sempurna sms nama usia gabung komunitas seluler 100p sms,81,13
spam,"5 Nada Polifonik Teratas Gratis hubungi 087018728737, Tarif Nasional. Dapatkan lagu toppoly dikirim setiap minggu, cukup kirim SMS ke SUBPOLY ke 81618, £3 per tiang. Buka Sub 08718727870.
",5 nada polifonik atas gratis hubung 087018728737 tarif nasional dapat lagu toppoly kirim minggu kirim sms subpoly 81618 3 tiang buka sub 08718727870,148,23
ham,"Ini berharap Anda menikmati permainan Anda kemarin. Maaf saya belum menghubungi Anda, tetapi mohon ketahuilah bahwa Anda sangat senang. Semoga minggumu menyenangkan. Abiola
",harap nikmat main kemarin maaf hubung mohon tahu senang moga minggu senang abiola,81,13
ham,"Semua yang terbaik untuk Anda yang mengemudi :-)
",baik kemudi -,13,3
ham,"Y?DIMANA KAMU DI DOGBREATH? INI HANYA TERDENGAR SEPERTI JAN C ITU AL!!!!!!!!!
",y mana dogbreath dengar jan c al,32,7
ham,"Ya ampun, aku ingin berteriak. Saya menimbang diri saya sendiri dan berat badan saya turun lebih banyak! Woohoo!
",ya ampun teriak timbang berat badan turun woohoo,48,8
ham,"Umumnya tidak ada satu pun. Ini adalah kata benda yang tidak dapat dihitung - u di kamus. potongan penelitian?
",benda hitung - u kamus potong teliti,36,7
ham,"itu benar-benar membuatku sedih hanya dengan berkeliaran.
",benar buat sedih liar,21,4
spam,"Pelanggan oranye, sekarang Anda dapat mengklaim peningkatan TELEPON KAMERA GRATIS untuk kesetiaan Anda. Hubungi sekarang di 0207 153 9996. Penawaran berakhir 14 Maret. S&K berlaku. Penyisihan tidak tersedia
",langgan oranye klaim tingkat telepon kamera gratis setia hubung 0207 153 9996 tawar 14 maret s k laku sisih sedia,113,20
ham,"""Bocah kecil dimana kamu, aku dan semua temanmu di Kingshead turunlah jika kamu bisa mencintai Nic""
",bocah mana teman kingshead turun cinta nic,42,7
ham,"Oke, aku pesan padamu b4 aku meninggalkan rumahku.
",oke pesan pada b4 tinggal rumah,31,6
ham,"""Beri aku beberapa"" adalah &lt;#&gt;  beberapa menit yang lalu
",lt gt menit,11,3
spam,"Kesempatan Terakhir! Klaim voucher diskon senilai £150 hari ini! Kirim SMS SHOP ke 85023 sekarang! SavaMob, menawarkan seluler! T Cs SavaMob POBOX84, M263UZ. £3,00 Sub. 16
",sempat klaim voucher diskon nila 150 kirim sms shop 85023 savamob tawar seluler t cs savamob pobox84 m263uz 3 00 sub 16,119,22
ham,"Pendaftaran pukul &lt;TIME&gt; pagi. Bukan salahku kamu tidak mendengarkan. Aku sudah bilang padamu dua kali
",daftar lt time gt pagi salah dengar bilang pada kali,52,10
spam,"GRATIS untuk minggu pertama! No1 Nokia tone 4 ponsel Anda setiap minggu cukup kirim SMS NOKIA ke 8077 Dapatkan SMS dan beri tahu teman Anda. www.getzed.co.uk POBox 36504 W45WQ 16+ norma150p/nada
",gratis minggu no1 nokia tone 4 ponsel minggu kirim sms nokia 8077 dapat sms teman www getzed co uk pobox 36504 w45wq 16 norma150p nada,134,25
spam,"Anda telah memenangkan jaminan penghargaan £200 atau bahkan uang tunai £1000 untuk mengklaim penghargaan UR, panggilan gratis di 08000407165 (18+) 2 pemberhentian di 88222 PHP. RG21 4JX
",menang jamin harga 200 uang tunai 1000 klaim harga ur panggil gratis 08000407165 18 2 henti 88222 php rg21 4jx,110,20
ham,"K Aku akan tiba di sana sebelum jam 4.
",k jam 4,7,3
ham,"Saya melakukan 3d itu sangat penting
",3d,2,1
ham,"tentu, tapi pastikan dia tahu kita belum merokok
",pasti rokok,11,2
ham,"Booooo kamu selalu bekerja. Berhenti saja.
",booooo henti,12,2
ham,"Saya mengambil cuti setengah hari karena saya tidak sehat
",ambil cuti sehat,16,3
ham,"Ugh, aku tidak ingin bangun dari tempat tidur. Ini sangat hangat.
",ugh bangun tidur hangat,23,4
ham,"S:)s.gugup &lt;#&gt; :)
",s s gugup lt gt,15,5
ham,"Jadi ada cincin yang disertakan dengan kostum cowok. Itu ada di sana sehingga mereka dapat memberi hadiah kepada calon istri mereka di masa depan. Petunjuk petunjuk
",cincin serta kostum cowok hadiah calon istri tunjuk tunjuk,58,9
spam,"Selamat, Anda telah mendapatkan voucher hadiah CD senilai £500 & Entri gratis 2 undian mingguan £100 kami, txt MUSIK ke 87066 TnCs www.Ldew.com1win150ppmx3age16
",selamat voucher hadiah cd nila 500 entri gratis 2 undi minggu 100 txt musik 87066 tncs www ldew com1win150ppmx3age16,116,19
ham,"Aku pinjam tasmu oke.
",pinjam tas oke,14,3
spam,"Anda dikalahkan oleh simonwatson5120 di Shinco DVD Plyr. 2 tawaran lagi, kunjungi sms. ac/smsrewards 2 notifikasi tawaran akhir, balas END OUT
",kalah simonwatson5120 shinco dvd plyr 2 tawar kunjung sms ac smsrewards 2 notifikasi tawar balas end out,104,17
ham,"Dimana mainan anakku? Aku merindukanmu... Apa yang terjadi?
",mana main anak rindu,20,4
ham,"Dia punya banyak yang bekas sayang, tapi modelnya tidak membantu. Anda harus membawanya dan dia akan mencocokkannya
",bekas sayang model bantu bawa cocok,35,6
ham,"Apakah Anda juga membawa Galileo atau Dobby
",bawa galileo dobby,18,3
ham,"Lalu kenapa kamu tidak membalasnya
",balas,5,1
ham,"""BOO BABE! KAU MENIKMATI PEKERJAANMU? KAU TAMPAKNYA 2 B DAPATKAN DENGAN BAIK HUNNY! HARAPAN URE BAIK? BERHATI-HATILAH & AKU SEGERA BERBICARA 2U BANYAK CINTAKU XXXX.""
",boo babe kau nikmat kerja kau 2 b dapat hunny harap ure hati bicara 2u cinta xxxx,81,17
