Message,Category,Message_Length,Word_Count,Bahasa
"I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?
",ham,131,30,"Saya sebenarnya melakukannya untuk pertama kalinya setelah sekian lama. Aku pergi tidur tidak lama setelah aku berbicara denganmu. Bangun jam 7. Bagaimana malammu?
"
"See you there! 
",ham,16,3,"Sampai jumpa di sana! 
"
"I dont understand your message.
",ham,32,5,"Saya tidak mengerti pesan Anda.
"
"Crucify is c not s. You should have told me earlier.
",ham,53,11,"Menyalibkan adalah c bukan s. Kamu seharusnya memberitahuku lebih awal.
"
"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it.
",ham,235,43,"Entahlah. Anda terus mengatakan bahwa Anda tidak melakukannya, tetapi sejak dia pindah, kami terus bertengkar mengenai kebebasan vs. tanggung jawab. Dan aku lelah. Aku punya banyak hal lain yang harus diselesaikan sehingga aku hampir tidak bisa menenangkan diri begitu masalah ini ditambahkan ke dalamnya.
"
"Fuck cedar key and fuck her (come over anyway tho)
",ham,51,10,"Persetan dengan kunci cedar dan persetan dengannya (datanglah kemari juga)
"
"twenty past five he said will this train have been to durham already or not coz i am in a reserved seat
",ham,104,22,"jam lima lewat dua puluh dia berkata apakah kereta ini sudah sampai ke Durham atau belum karena aku duduk di kursi yang sudah dipesan
"
"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX
",spam,141,29,"Hai teman-teman. Ingin foto XXX keren dikirim langsung ke ponsel Anda? Txt PORN ke 69855, 24 jam gratis dan kemudian hanya 50p per hari. Untuk menghentikan teks STOPBCM SF WC1N3XX
"
"U still painting ur wall?
",ham,26,5,"Kamu masih mengecat dindingmu?
"
"Printer is cool. I mean groovy. Wine is groovying
",ham,50,9,"Printernya keren. Maksudku asyik. Anggur itu asyik
"
"Hi Harish's rent has been transfred to ur Acnt.
",ham,48,9,"Hai, uang sewa Harish telah ditransfer ke Akun Anda.
"
"Anything lor is she coming?
",ham,28,5,"Ada apa dia akan datang?
"
"Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.
",ham,78,12,"Cbe sangat bagus saat ini :) banyak toko dan ruang pamer :) kota sedang dalam kondisi bagus.
"
"Ü still attending da talks?
",ham,28,5,"Ü masih menghadiri pembicaraan da?
"
"No probs hon! How u doinat the mo?
",ham,35,8,"Tidak masalah sayang! Bagaimana kabarmu saat ini?
"
"K I'll take care of it
",ham,23,6,"Aku akan mengurusnya
"
"I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?
",ham,96,20,"Kurasa kita tidak menelepon pada hari Jumat. Bisakah kita berasumsi bahwa kita tidak akan memilikinya tahun ini?
"
"My battery is low babe
",ham,23,5,"Bateraiku lemah sayang
"
"Shuhui has bought ron's present it's a swatch watch...
",ham,55,9,"Shuhui telah membelikan hadiah ron, itu adalah jam tangan carikan...
"
"Yeah there's quite a bit left, I'll swing by tomorrow when I get up
",ham,68,14,"Ya, masih ada sedikit yang tersisa, aku akan mampir besok ketika aku bangun
"
"Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
",ham,74,16,"Bayi? Kamu bilang 2 jam dan sekarang sudah hampir 4... Apakah internetmu mati?
"
"K I'll be sure to get up before noon and see what's what
",ham,57,13,"K Saya pasti akan bangun sebelum tengah hari dan melihat apa yang terjadi
"
"K...k...yesterday i was in cbe .
",ham,33,6,"K...k...kemarin aku di cbe .
"
"Went to ganesh dress shop
",ham,26,5,"Pergi ke toko pakaian ganesh
"
"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL
",spam,164,24,"pdate_Now - Dua menit dan 1000 txt pada tarif Oranye. Motorola, SonyEricsson & Nokia & Bluetooth Terbaru GRATIS! Hubungi MobileUpd8 di 08000839402 atau hubungi2optout/!YHL
"
"Ü collecting ur laptop then going to configure da settings izzit?
",ham,66,11,"Ü mengumpulkan laptop Anda lalu akan mengkonfigurasi pengaturan da izzit?
"
"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?
",ham,122,26,"Baiklah, aku harus sampai di sana paling lambat jam 8, mungkin mendekati jam 7. Apakah jay dan tyler sedang turun atau haruskah kita melakukan dua perjalanan saja?
"
"Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house
",ham,56,9,"Ayo setelah &lt;DECIMAL&gt; ..sekarang aku sedang membersihkan rumah
"
"Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
",spam,140,24,"Saldo tunai Anda saat ini 500 pound - untuk memaksimalkan uang masuk Anda sekarang kirim TUNAI ke 86688 hanya 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
"
"Bill, as in: Are there any letters for me. i’m expecting one from orange that isn’t a bill but may still say orange on it.
",ham,123,25,"Bill, seperti dalam: Apakah ada surat untuk saya. Saya mengharapkan satu dari warna oranye yang bukan uang kertas tetapi mungkin masih ada tulisan oranye di atasnya.
"
"Tell me pa. How is pain de.
",ham,28,7,"Katakan padaku, pa. Bagaimana rasa sakitnya de.
"
"HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
",ham,142,35,"HI DARLIN SAYA HARAP KAU MENDAPATKAN MALAM YANG MENYENANGKAN SAYA BERHARAP SAYA DATANG TIDAK SAMPAI MELIHAT ANDA CINTA FRAN PS SAYA INGIN SEKS ANAL KOTOR DAN SAYA INGIN 10 MAN GANG BANG
"
"Ha. You don‘t know either. I did a a clever but simple thing with pears the other day, perfect for christmas.
",ham,110,21,"Ha. Kamu juga tidak tahu. Saya melakukan hal yang cerdas namun sederhana dengan pir beberapa hari yang lalu, cocok untuk Natal.
"
"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG"".
",ham,110,16,"Halooooo... Bangun..! ""Manis"" ""pagi"" ""menyambut"" ""Kamu"" ""Nikmati"" ""Hari Ini"" ""dengan penuh kegembiraan"".. ""GUD MRNG"".
"
"ALRITE
",ham,7,1,"ALRIT
"
"Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.
",ham,143,27,"Mengapa kita harus duduk-duduk dan menunggu hari-hari musim panas untuk merayakannya. Sungguh pemandangan yang ajaib ketika dunia berpakaian putih. Oooooh biarlah ada salju.
"
"URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only
",spam,137,22,"MENDESAK! Nomor Ponsel Anda telah diberikan hadiah £2000 DIJAMIN. Hubungi 09058094454 dari jalur darat. Klaim 3030. Hanya berlaku 12 jam
"
"How do you guys go to see movies on your side.
",ham,47,11,"Bagaimana kalian pergi menonton film di pihak kalian.
"
"You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs
",ham,90,17,"Kamu tidak perlu memberitahuku hal itu...sekarang aku berpikir. Ditambah lagi dia akan menghentikan semua larimu
"
"Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.
",ham,65,10,"Mohon kirimkan seseorang ke flat kami sebelum &lt;DECIMAL&gt;  Hari ini.
"
"Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info
",spam,149,28,"Maaf! Anda belum bisa berhenti berlangganan. Paket penawaran MOB memiliki jangka waktu minimal 54 minggu> harap kirimkan ulang permintaan setelah habis masa berlakunya. Balas THEMOB BANTUAN 4 info lebih lanjut
"
"Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...
",ham,78,16,"Tidak ada apa-apa... Agak bosan juga... Kalau begitu, kamu tidak pulang lebih awal, tidur hari ini...
"
"What time should I tell my friend to be around?
",ham,48,10,"Jam berapa saya harus memberitahu teman saya untuk berada di dekat saya?
"
"Yes. that will be fine. Love you. Be safe.
",ham,43,9,"Ya. itu akan baik-baik saja. Aku mencintaimu. Aman.
"
"Thanks chikku..:-) gud nyt:-*
",ham,30,4,"Terima kasih chikku.. :-) gud nyt:-*
"
"Is xy in ur car when u picking me up?
",ham,38,10,"Apakah xy ada di mobilmu saat kamu menjemputku?
"
"Thanx 4 the time weve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx
",ham,86,19,"Terima kasih 4 waktu yang kami habiskan untuk 2geva, ini sangat bagus! Kamu sayangku dan yang kuinginkan hanyalah kamu!xxxx
"
"Yo, any way we could pick something up tonight?
",ham,48,9,"Yo, adakah yang bisa kita ambil sesuatu malam ini?
"
"I've not sent it. He can send me.
",ham,34,8,"Saya belum mengirimkannya. Dia bisa mengirimku.
"
"Fine am simply sitting.
",ham,24,4,"Baiklah, aku hanya duduk.
"
"Thts god's gift for birds as humans hav some natural gift frm god..
",ham,68,13,"Itu adalah anugerah Tuhan untuk burung, karena manusia juga memiliki anugerah alami dari Tuhan..
"
"Are you coming to day for class.
",ham,33,7,"Apakah Anda datang hari ini untuk kelas.
"
"Im done. Just studyn in library
",ham,32,6,"Saya sudah selesai. Baru saja belajar di perpustakaan
"
"Ok... U enjoy ur shows...
",ham,26,5,"Oke... Nikmati pertunjukanmu...
"
"Anything...
",ham,12,1,"Apa pun...
"
"Where wuld I be without my baby? The thought alone mite break me and I dont wanna go crazy but everyboy needs his lady xxxxxxxx
",ham,129,25,"Di manakah saya tanpa bayi saya? Pikiran itu saja menghancurkanku dan aku tidak ingin menjadi gila tetapi setiap pria membutuhkan wanitanya xxxxxxxxx
"
"Wat's my dear doing? Sleeping ah?
",ham,34,6,"Apa yang sedang dilakukan sayangku? Tidur ah?
"
"Hi' Test on  &lt;#&gt; rd ....
",ham,31,6,"Hai' Uji pada &lt;#&gt; rd ....
"
"Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.
",ham,184,28,"Hanya 2% siswa yang menyelesaikan soal CAT ini di 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  lalu 7+2+5=???? Beri tahu saya jawabannya jika Anda brilian...1 hal. Saya mendapat jawabannya.
"
"Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night
",ham,157,32,"Apakah kamu kenal seseorang &lt;#&gt;  atau bisa membeli minuman keras? Orang kita terkelupas dan sekarang jika kita tidak menghubungi seseorang, itu hanya 4 loko sepanjang malam
"
"Yup n her fren lor. I'm meeting my fren at 730.
",ham,48,11,"Yup dan fren lor-nya. Aku akan menemui temanku jam 730.
"
"Yeah, we got one lined up for us
",ham,33,8,"Ya, kami punya satu yang disiapkan untuk kami
"
"And stop wondering ""wow is she ever going to stop tm'ing me ?!"" because I will tm you whenever I want because you are MINE ... *laughs*
",ham,136,27,"Dan berhentilah bertanya-tanya ""wow apakah dia akan berhenti menggodaku?!"" karena aku akan menghubungimu kapan pun aku mau karena kamu adalah milikku... *tertawa*
"
"Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me.
",ham,102,18,"Lo ya, lakukan itu kemarin. Sudah mendapatkan perapianku. Sekarang itu hanyalah ikon lain yang ada di sana untuk saya.
"
"Hey i've booked the pilates and yoga lesson already... Haha
",ham,60,10,"Hei, aku sudah memesan pelajaran pilates dan yoga... Haha
"
"Are you ok. What happen to behave like this
",ham,44,9,"Kamu tidak apa apa. Apa jadinya berperilaku seperti ini
"
"You have 1 new message. Please call 08712400200.
",spam,49,8,"Anda mendapat 1 pesan baru. Silakan hubungi 08712400200.
"
"My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
",ham,96,22,"Supervisor saya menemukan 4 saya satu untuk saya pikir murid-muridnya. Aku belum bertanya padanya. Katakan padamu nanti, aku bertanya padanya.
"
"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3. 
",ham,143,29,"Halo. Tidak ada berita tentang pekerjaan, mereka membuatku menunggu minggu kelima! Ya, aku siap untuk beberapa woozle dan musang... Masih di exeter, tapi sampai di rumah sekitar jam 3. 
"
"We currently have a message awaiting your collection. To collect your message just call 08718723815.
",spam,101,15,"Saat ini kami memiliki pesan yang menunggu koleksi Anda. Untuk mengambil pesan Anda cukup hubungi 08718723815.
"
"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe
",ham,328,70,"Hei sayang, maaf aku tidak datang lebih awal. Gary bisa datang dan memperbaikinya karena dia pikir dia tahu apa itu tapi dia tidak pergi sejauh Ptbo dan dia bilang itu akan memakan biaya &lt;#&gt;  dolar. Saya tidak tahu apakah mungkin lebih murah untuk menemukan seseorang di sana? Kami tidak memiliki mesin bekas sama sekali saat ini, beri tahu saya apa yang ingin kamu lakukan sayang
"
"make that 3! 4 fucks sake?! x
",ham,30,7,"jadikan itu 3! 4 sake sialan?! X
"
"Leave it. U will always be ignorant.
",ham,37,7,"Biarkan saja. Kamu akan selalu bodoh.
"
"Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-)
",ham,88,21,"Tidak, tapi aku akan pergi jam 2 siang pada hari Jumat, karena kakakku mendapat kertas pagi ini :-)
"
"at bruce b downs &amp; fletcher now
",ham,36,7,"di bruce b down &amp; Fletcher sekarang
"
"Where are you ? You said you would be here when I woke ... :-(
",ham,63,15,"Kamu ada di mana ? Kamu bilang kamu akan berada di sini ketika aku bangun... :-(
"
"Hey now am free you can call me.
",ham,33,8,"Hai, sekarang aku senggang, kamu bisa menghubungiku.
"
"Tell me whos this pls:-)
",ham,25,5,"Tolong beri tahu saya siapa ini :-)
"
"URGENT! Your mobile was awarded a £1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011
",spam,120,20,"MENDESAK! Ponsel Anda dianugerahi Hadiah Bonus Penelepon £1.500 pada 27/6/03. Upaya terakhir kami 2 hubungi U! Hubungi 08714714011
"
"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.
",ham,113,22,"Pikir saya mungkin harus memberikannya sebuah kehilangan. Saya mengajar sampai jam dua belas, lalu mengajar jam dua. Sialan ini berhasil.
"
"Id have to check but there's only like 1 bowls worth left
",ham,58,12,"Aku harus memeriksanya tetapi hanya tersisa 1 mangkuk saja
"
"Yes there were many sweets
",ham,27,5,"Ya, ada banyak manisan
"
"I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.
",ham,111,19,"Aku akan melakukannya, tapi aku masih nyaman. Dan kelelahan sejak tadi malam. Tidak ada yang pergi ke sekolah atau bekerja. Semuanya tertutup.
"
"Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?
",ham,148,33,"Buzzzz! *nyengir* Apakah aku menjelek-jelekkanmu? Buzz dadamu? Buzz penismu? Dimana kamu menyimpan ponselmu? Apakah vibratornya menyala? Apakah Anda merasakannya bergetar?
"
"Sir send to group mail check it.
",ham,33,7,"Pak kirim ke surat grup, periksa.
"
"I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
",ham,152,30,"Saya melakukan intro yang mencakup tren energi n pro dan kontra... Deskripsi singkat tentang fusi nuklir n oso sejarah singkat iter n jet sampai sekitar 7 n setengah halaman..
"
"""NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT""
",ham,43,3,"""TIDAK ADA! SEKARANG IKNO ADA DISKON! SHITINNIT""
"
"You dont know you jabo me abi.
",ham,31,7,"Kamu tidak tahu kamu jabo aku abi.
"
"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?
",spam,136,25,"Pernahkah Anda memperhatikan bahwa ketika Anda sedang mengemudi, siapa pun yang melaju lebih lambat dari Anda adalah seorang idiot dan semua orang yang mengemudi lebih cepat dari Anda adalah seorang maniak?
"
"Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..
",ham,95,14,"Belum punya..ya sapna bibi manege y'day hogidhe..chinnu penuh lemah dan swalpa black agidhane..
"
"Are you being good, baby? :)
",ham,29,6,"Apakah kamu bersikap baik, sayang? :)
"
"Mostly sports type..lyk footbl,crckt..
",ham,39,4,"Kebanyakan tipe olah raga..lyk footbl,crckt..
"
"Ma head dey swell oh. Thanks for making my day
",ham,47,10,"Kepalaku membengkak oh. Terima kasih telah membuat hariku menyenangkan
"
"U should make a fb list
",ham,24,6,"Kamu harus membuat daftar fb
"
"Sary just need Tim in the bollox &it hurt him a lot so he tol me!
",ham,66,16,"Sary hanya butuh Tim di bollox & itu sangat menyakitinya jadi dia memberitahuku!
"
"Happy New Year Princess!
",ham,25,4,"Selamat Tahun Baru Putri!
"
"I'll text carlos and let you know, hang on
",ham,43,9,"Saya akan mengirim SMS ke Carlos dan memberi tahu Anda, tunggu
"
"Don't worry, * is easy once have ingredients!
",ham,46,8,"Jangan khawatir, *mudah sekali punya bahannya!
"
"I love u 2 my little pocy bell I am sorry but I love u
",ham,55,15,"Aku mencintaimu 2 lonceng kecilku. Aku minta maaf tapi aku mencintaimu
"
"Ok omw now, you at castor?
",ham,27,6,"Oke omw sekarang, kamu di castor?
"
"Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?
",ham,61,12,"Ya ampun... Hujan terus turun tanpa henti... Atau kamu ingin pergi ke tempat lain?
"
"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2
",spam,160,25,"Penawaran Natal! Motorola, SonyEricsson & Nokia terbaru & Bluetooth atau DVD GRATIS! Menit Ganda & 1000 Txt di Oranye. Hubungi MobileUpd8 di 08000839402 atau hubungi2optout/4QF2
"
"What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..
",ham,142,33,"Apa maksudmu kamu hampir selesai? Selesai kalau tidur? Tapi aku tot kamu akan tidur siang.. Yup aku mengirimnya liao jadi aku menjemputnya di ard 4 smth lor..
"
"Tonight? Yeah, I'd be down for that
",ham,36,7,"Malam ini? Ya, aku akan kecewa karenanya
"
"What should i eat fo lunch senor
",ham,33,7,"Apa yang harus aku makan untuk makan siang Senor
"
"He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for! 
",ham,144,29,"Dia mengatakan bahwa dia tertawa terbahak-bahak ketika melihatmu lagi! Anda mungkin menjadi orang2 mati pertama dari NVQ, tapi pikirkan berapa banyak yang bisa Anda dapatkan! 
"
"No break time one... How... I come out n get my stuff fr ü?
",ham,60,14,"Tidak ada waktu istirahat... Bagaimana... Aku keluar dan mengambil barang-barangku dari ü?
"
"Reply to win £100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service
",spam,107,19,"Balas untuk memenangkan £100 setiap minggu! Olahraga profesional apa yang dimainkan Tiger Woods? Kirim STOP ke 87239 untuk mengakhiri layanan
"
"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz
",ham,97,23,"Aku di sana dan aku bisa melihatmu, tapi kamu tidak bisa melihatku? Mungkin Anda harus me-rebootnya? Saya melihat desas-desus itu
"
"Do you still have the grinder?
",ham,31,6,"Apakah Anda masih memiliki penggilingnya?
"
"No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
",spam,148,31,"Tidak ada 1 nada POLIFONIK 4 massa Anda setiap minggu! Cukup SMS PT2 ke 87575. Nada Pertama GRATIS! jadi dapatkan txtin sekarang dan beri tahu temanmu. 150p/nada. 16 balasan HL 4info
"
"K.i did't see you.:)k:)where are you now?
",ham,42,7,"K.i tidak melihatmu.:)k :) dimana kamu sekarang?
"
"So i'm doing a list of buyers.
",ham,31,7,"Jadi saya sedang membuat daftar pembeli.
"
"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second
",ham,158,30,"Tidak tahu, saya kira kita akan menyelesaikannya satu jam setelah kita harus berangkat karena seperti biasa tidak ada yang tertarik untuk memikirkan masalah ini sebelum detik terakhir.
"
"Mm not entirely sure i understood that text but hey. Ho. Which weekend?
",ham,72,13,"Mm tidak sepenuhnya yakin aku mengerti teks itu tapi hei. Ho. Akhir pekan yang mana?
"
"They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.
",ham,113,21,"Mereka merilis kemeja vday dan ketika kamu memakainya, itu membuat bagian bawahmu setengah telanjang, bukan pakaian dalam putih itu.
"
"Don know..he is watching film in computer..
",ham,44,7,"Entahlah..dia sedang menonton film di komputer..
"
"No b4 Thursday
",ham,15,3,"Tidak b4 Kamis
"
"Oh, then your phone phoned me but it disconnected
",ham,50,9,"Oh, lalu teleponmu meneleponku tapi terputus
"
"Id onluy matters when getting on from offcampus
",ham,48,8,"Saya hanya penting ketika keluar dari kampus
"
"This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only
",spam,135,23,"Pesan ini gratis. Selamat datang di klub Sex & Dogging yang baru & lebih baik! Untuk berhenti berlangganan layanan ini, jawab STOP. pesan@150p 18+ saja
"
"Excellent, I'll see what riley's plans are
",ham,43,7,"Bagus sekali, aku akan lihat apa rencana riley
"
"Ew are you one of them?
",ham,24,6,"Eh, apakah kamu salah satunya?
"
"Also hi wesley how've you been
",ham,31,6,"Juga hai wesley, apa kabarmu
"
"Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!
",ham,109,25,"Ah begitu. Anda harus menguasai istilah tersebut. Saya akan memberi tahu Anda apa yang telah selesai dibuat!
"
"Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
",spam,111,14,"Perbarui_Sekarang - Sewa jalur Oranye Setengah Harga 12 Bulan: 400 menit...Hubungi MobileUpd8 di 08000839402 atau call2optout=J5Q
"
"Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:)
",ham,120,19,"Bayangkan Hidup TANPA AKU... lihat.. Seberapa cepat kamu mencariku? Jangan khawatir.. aku selalu ada untuk mengganggumu.. Selamat siang.. :)
"
"Hm good morning, headache anyone? :-)
",ham,38,6,"Hm selamat pagi, ada yang pusing? :-)
"
"Yeah no probs - last night is obviously catching up with you... Speak soon 
",ham,76,14,"Ya, tidak masalah - tadi malam jelas akan menyusul Anda... Bicaralah segera 
"
"FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
",spam,153,30,"GRATIS HARDCORE PORN TAK TERBATAS arahkan 2 ponsel Anda Txt PORN ke 69200 & dapatkan akses GRATIS selama 24 jam lalu chrgd@50p per hari txt Stop 2exit. Pesan ini gratis
"
"I might go 2 sch. Yar at e salon now v boring.
",ham,47,12,"Saya mungkin pergi 2 sekolah. Yar di salon sekarang sangat membosankan.
"
" &lt;#&gt;  mins but i had to stop somewhere first.
",ham,52,9," &lt;#&gt;  menit tetapi saya harus berhenti di suatu tempat terlebih dahulu.
"
"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj
",ham,462,66,"&lt;#&gt;  semakin dekat. Jadi, ucapkan Selamat Tahun Baru Selamat Sankranti Selamat hari republik Selamat Hari Kasih Sayang Selamat Shivratri Selamat Ugadi Selamat Hari Bodoh Selamat Hari Buruh Selamat Hari Kemerdekaan, Selamat Persahabatan, Ibu, Ayah, Guru, Hari Anak, &amp; SELAMAT ULANG TAHUN 4 U. Selamat festival Ganesh Selamat Dasara Selamat Diwali Selamat Natal &lt;#&gt;  Selamat Pagi Siang, Malam Malam. Ingat, AKUlah orang pertama yang MENGHARAPKAN SEMUA INI...Rajmu
"
"One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -
",ham,128,21,"Salah satu kegembiraan dalam hidup adalah bangun setiap hari dengan pikiran bahwa di suatu tempat ada seseorang yang cukup peduli untuk mengirimkan salam pagi yang hangat.. -
"
"I didn't get the second half of that message
",ham,45,9,"Saya tidak menerima bagian kedua dari pesan itu
"
"Wat time do u wan 2 meet me later?
",ham,35,9,"Jam berapa kamu ingin bertemu denganku nanti?
"
"I thank you so much for all you do with selflessness. I love you plenty.
",ham,73,15,"Saya berterima kasih banyak atas semua yang Anda lakukan tanpa pamrih. Aku sangat mencintaimu.
"
"Am in film ill call you later.
",ham,31,7,"Aku sedang dalam film, aku akan meneleponmu nanti.
"
"How dare you change my ring
",ham,28,6,"Beraninya kamu mengganti cincinku
"
"You are a very very very very bad girl. Or lady.
",ham,49,11,"Kamu adalah gadis yang sangat sangat sangat buruk. Atau wanita.
"
"I love ya too but try and budget your money better babe. Gary would freak on me if he knew
",ham,91,20,"Aku juga mencintaimu, tetapi cobalah menganggarkan uangmu dengan lebih baik sayang. Gary akan membuatku panik jika dia tahu
"
"What part of ""don't initiate"" don't you understand
",ham,51,8,"Bagian mana dari ""jangan memulai"" yang tidak kamu mengerti
"
"I finished my lunch already. U wake up already?
",ham,48,9,"Aku sudah menyelesaikan makan siangku. kamu sudah bangun?
"
"You still at the game?
",ham,23,5,"Kamu masih di pertandingan?
"
"You have got tallent but you are wasting.
",ham,42,8,"Kamu mempunyai tinggi badan tetapi kamu menyia-nyiakannya.
"
"What is your record for one night? :)
",ham,38,8,"Apa rekor Anda untuk satu malam? :)
"
"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.
",ham,174,33,"Juga pak, saya mengirimi Anda email tentang cara masuk ke portal pembayaran usc. Saya akan mengirimi Anda pesan lain yang menjelaskan keadaan di rumah. Semoga akhir pekanmu menyenangkan.
"
" gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. 
",ham,96,16," akan beritahu aku karena datang dari liburan hari itu.  akan datang. Jangan 4get2kirimi saya nomor telepon. 
"
"Jokin only lar... :-) depends on which phone my father can get lor...
",ham,70,13,"Hanya Jokin saja... :-) tergantung ponsel mana yang bisa ayahku dapatkan...
"
"Aight, lemme know what's up
",ham,28,5,"Baiklah, biar aku tahu ada apa
"
"Get ready for  &lt;#&gt;  inches of pleasure...
",ham,48,7,"Bersiaplah untuk &lt;#&gt;  inci kesenangan...
"
";-) ok. I feel like john lennon.
",ham,33,7,";-) Oke. Saya merasa seperti John Lennon.
"
"Cos darren say ü considering mah so i ask ü...
",ham,47,10,"Karena Darren bilang ü mempertimbangkan mah jadi aku bertanya ü...
"
